Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T056_018,SE_T056_019,SE_T056_020,SE_T056_021,SE_T056_022,SE_T056_023,SE_T056_024,SE_T056_025,SE_T056_026,SE_T056_027,SE_T056_028,SE_T056_029,SE_T056_030,SE_T056_031,SE_T057_001,SE_T057_002,SE_T057_003,SE_T057_004,SE_T057_005,SE_T057_006,SE_T057_007,SE_T057_008,SE_T057_009,SE_T057_010,SE_T057_011,SE_T057_012,SE_T057_013,SE_T057_014,SE_T057_015,SE_T057_016,SE_T057_017,SE_T057_018,SE_T057_019,SE_T057_020,SE_T057_021,SE_T057_022
"Census Tract 130","Census Tract 130, Cumberland County, Maine","80917857","13177632","140","00","1","1","23005013000","23","005","19",,"013000",3742,3742,119.7725,31.2425601971901,36.33047,31.24256,5.087913,3742,3628,26,12,11,0,8,57,3742,3697,3592,24,12,11,0,4,54,45,36,2,0,0,0,4,3,3742,3697,45,14,17,3,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,8,2,1,0,5,11,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"Census Tract 140","Census Tract 140, Cumberland County, Maine","82417933","14052069","140","00","1","1","23005014000","23","005","19",,"014000",3872,3872,121.6778,31.8217443478503,37.24728,31.82174,5.425534,3872,3770,13,9,21,0,6,53,3872,3845,3749,13,9,21,0,1,52,27,21,0,0,0,0,5,1,3872,3845,27,8,6,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,6,1,0,0,5,20,3,0,0,1,2,1,8,0,0,4,0,0,0,0,0,0,0,0,1,0,0
"Census Tract 150","Census Tract 150, Cumberland County, Maine","85951852","2169371","140","00","1","1","23005015000","23","005","19",,"015000",2730,2730,82.26311,33.1861985460936,34.0238,33.1862,0.8375989,2730,2659,9,19,5,1,7,30,2730,2705,2638,9,19,5,1,7,26,25,21,0,0,0,0,0,4,2730,2705,25,6,10,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 160","Census Tract 160, Cumberland County, Maine","147086868","26488185","140","00","1","1","23005016000","23","005","19",,"016000",5210,5210,91.7406,56.7905581029719,67.0177,56.79056,10.22715,5210,5032,38,22,18,2,10,88,5210,5147,4981,37,22,17,2,2,86,63,51,1,0,1,0,8,2,5210,5147,63,16,20,2,4,4,0,0,0,0,4,0,0,11,6,0,3,1,1,0,0,0,0,0,6,1,0,0,5,18,1,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0
"Census Tract 165","Census Tract 165, Cumberland County, Maine","176319399","37016548","140","00","1","1","23005016500","23","005","19",,"016500",3244,3244,47.65171,68.0773007442506,82.36947,68.0773,14.29217,3244,3163,7,18,20,0,4,32,3244,3232,3153,6,17,20,0,4,32,12,10,1,1,0,0,0,0,3244,3232,12,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,1,0,0,0,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 170.01","Census Tract 170.01, Cumberland County, Maine","110132800","4473960","140","00","1","1","23005017001","23","005","19",,"017001",6268,6268,147.4043,42.5225136178237,44.24992,42.52251,1.727406,6268,6116,23,18,36,2,11,62,6268,6227,6086,23,18,36,2,1,61,41,30,0,0,0,0,10,1,6268,6227,41,13,14,2,0,4,0,0,1,0,0,3,0,3,0,0,1,2,0,0,0,0,0,0,5,0,0,0,5,36,2,0,0,0,9,2,13,0,0,0,0,0,0,0,7,0,0,0,3,0,0
"Census Tract 170.02","Census Tract 170.02, Cumberland County, Maine","46217310","60132924","140","00","1","1","23005017002","23","005","19",,"017002",3611,3611,202.3581,17.8446046854271,41.06206,17.8446,23.21745,3611,3497,23,16,10,0,8,57,3611,3573,3473,22,16,9,0,1,52,38,24,1,0,1,0,7,5,3611,3573,38,5,14,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,3,0,10,10,0,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"Census Tract 9651","Census Tract 9651, Oxford County, Maine","1986993555","131554127","140","00","1","1","23017965100","23","017","17",,"965100",1587,1587,2.068608,767.182525942205,817.9759,767.1826,50.79333,1587,1561,1,9,4,0,0,12,1587,1580,1556,1,9,4,0,0,10,7,5,0,0,0,0,0,2,1587,1580,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Census Tract 9655","Census Tract 9655, Oxford County, Maine","86276254","3239036","140","00","1","1","23017965500","23","017","17",,"965500",2215,2215,66.49365,33.3114500916607,34.56205,33.31145,1.250599,2215,2153,12,2,4,0,13,31,2215,2170,2124,11,2,4,0,0,29,45,29,1,0,0,0,13,2,2215,2170,45,12,27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Census Tract 9656","Census Tract 9656, Oxford County, Maine","91255319","126359","140","00","1","1","23017965600","23","017","17",,"965600",3626,3626,102.9123,35.2338775314789,35.28267,35.23388,0.04878749,3626,3527,23,7,7,0,20,42,3626,3575,3496,23,7,6,0,8,35,51,31,0,0,1,0,12,7,3626,3575,51,17,14,0,3,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,14,3,4,0,7,7,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Census Tract 9659","Census Tract 9659, Oxford County, Maine","224148156","4719119","140","00","1","1","23017965900","23","017","17",,"965900",2988,2988,34.52575,86.5440920961796,88.36616,86.54409,1.822062,2988,2904,14,8,15,0,15,32,2988,2952,2889,14,8,15,0,2,24,36,15,0,0,0,0,13,8,2988,2952,36,13,3,0,0,3,0,3,0,0,0,0,0,9,4,0,4,0,0,0,0,0,0,1,8,0,1,0,7,15,0,0,0,0,0,7,1,0,0,3,2,0,0,0,0,0,0,0,1,1,0
"Census Tract 9660","Census Tract 9660, Oxford County, Maine","628036287","11306550","140","00","1","1","23017966000","23","017","17",,"966000",3307,3307,13.63789,242.486176769931,246.8517,242.4862,4.365484,3307,3242,7,16,7,0,6,29,3307,3284,3223,7,16,5,0,6,27,23,19,0,0,2,0,0,2,3307,3284,23,7,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,7,1,2,0,4,7,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Census Tract 9661","Census Tract 9661, Oxford County, Maine","62783124","412979","140","00","1","1","23017966100","23","017","17",,"966100",1812,1812,74.75031,24.2407007291153,24.40015,24.2407,0.1594521,1812,1765,4,11,3,0,8,21,1812,1779,1741,4,8,3,0,4,19,33,24,0,3,0,0,4,2,1812,1779,33,20,8,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Census Tract 9664","Census Tract 9664, Oxford County, Maine","203680082","19357887","140","00","1","1","23017966400","23","017","17",,"966400",5880,5880,74.76985,78.6413218902945,86.11545,78.64132,7.474123,5880,5722,18,21,10,4,8,97,5880,5820,5672,18,21,10,4,4,91,60,50,0,0,0,0,4,6,5880,5820,60,20,15,3,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,15,10,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Census Tract 9665","Census Tract 9665, Oxford County, Maine","116655606","5932315","140","00","1","1","23017966500","23","017","17",,"966500",5014,5014,111.3208,45.0409839736709,47.33146,45.04099,2.29048,5014,4816,19,28,30,3,5,113,5014,4965,4782,19,27,30,3,1,103,49,34,0,1,0,0,4,10,5014,4965,49,13,21,2,3,3,0,0,1,0,0,2,0,6,0,0,0,2,0,0,4,0,0,0,1,0,0,0,1,30,0,0,0,0,2,17,1,0,0,3,1,0,0,1,0,0,0,0,4,0,1
"Census Tract 9666","Census Tract 9666, Oxford County, Maine","316522968","21591761","140","00","1","1","23017966600","23","017","17",,"966600",3084,3084,25.23521,122.210209468152,130.5468,122.2102,8.336625,3084,3005,6,8,5,1,4,55,3084,3060,2983,6,8,5,1,3,54,24,22,0,0,0,0,1,1,3084,3060,24,7,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"Census Tract 9667","Census Tract 9667, Oxford County, Maine","151068513","19567226","140","00","1","1","23017966700","23","017","17",,"966700",3449,3449,59.13124,58.3278810558196,65.88283,58.32788,7.554948,3449,3255,19,6,101,0,10,58,3449,3401,3215,18,6,101,0,5,56,48,40,1,0,0,0,5,2,3449,3401,48,11,9,2,1,0,0,0,0,0,0,0,0,8,3,0,0,2,0,0,0,0,3,0,17,8,5,0,4,101,6,0,0,0,0,47,4,0,0,1,18,0,0,0,0,0,10,0,14,0,1
"Census Tract 9668","Census Tract 9668, Oxford County, Maine","234633126","12418875","140","00","1","1","23017966800","23","017","17",,"966800",2745,2745,30.30057,90.5923579568708,95.38731,90.59236,4.794955,2745,2690,9,1,9,1,9,26,2745,2737,2685,9,1,9,1,6,26,8,5,0,0,0,0,3,0,2745,2737,8,0,3,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Census Tract 9669","Census Tract 9669, Oxford County, Maine","178827133","6956912","140","00","1","1","23017966900","23","017","17",,"966900",3118,3118,45.1586,69.0455461569706,71.73163,69.04555,2.686079,3118,3006,14,13,14,3,9,59,3118,3097,2996,12,12,14,3,5,55,21,10,2,1,0,0,4,4,3118,3097,21,13,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,14,1,0,0,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Census Tract 200","Census Tract 200, York County, Maine","104955800","1834561","140","00","1","1","23031020000","23","031","18",,"020000",8034,8034,198.2545,40.5236626578965,41.23199,40.52366,0.708328,8034,7755,45,14,72,0,15,133,8034,7980,7729,43,14,72,0,3,119,54,26,2,0,0,0,12,14,8034,7980,54,14,20,0,6,0,0,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,10,4,0,0,6,70,2,0,0,0,4,28,22,0,0,2,2,0,0,0,0,0,0,0,7,0,3
"Census Tract 210","Census Tract 210, York County, Maine","82913900","2542498","140","00","1","1","23031021000","23","031","18",,"021000",4281,4281,133.7259,32.0132386713761,32.9949,32.01324,0.981664,4281,4191,8,18,16,0,4,44,4281,4262,4181,6,16,16,0,2,41,19,10,2,2,0,0,2,3,4281,4262,19,7,3,0,0,2,0,1,0,0,0,1,0,5,0,0,1,1,0,0,1,0,2,0,2,0,1,0,1,16,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Census Tract 220","Census Tract 220, York County, Maine","108572218","3534452","140","00","1","1","23031022000","23","031","18",,"022000",3713,3713,88.57354,41.9199687411679,43.28463,41.91997,1.36466,3713,3588,8,16,18,5,12,66,3713,3669,3561,8,12,18,5,8,57,44,27,0,4,0,0,4,9,3713,3669,44,16,20,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,3,18,5,0,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 225","Census Tract 225, York County, Maine","209953456","3158038","140","00","1","1","23031022500","23","031","18",,"022500",3301,3301,40.72117,81.0634860084294,82.28281,81.06348,1.219325,3301,3222,9,11,8,0,14,37,3301,3265,3202,9,10,8,0,3,33,36,20,0,1,0,0,11,4,3301,3265,36,20,9,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,0,0,0
"Census Tract 230","Census Tract 230, York County, Maine","70286511","2864861","140","00","1","1","23031023000","23","031","18",,"023000",2892,2892,106.5673,27.137775155715,28.2439,27.13778,1.106129,2892,2813,10,18,6,0,3,42,2892,2863,2790,10,16,6,0,0,41,29,23,0,2,0,0,3,1,2892,2863,29,5,5,2,3,2,1,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,1,0,7,3,3,0,1,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 235","Census Tract 235, York County, Maine","281691067","18058070","140","00","1","1","23031023500","23","031","18",,"023500",6637,6637,61.02341,108.761535574682,115.7338,108.7615,6.97226,6637,6467,21,33,27,2,12,75,6637,6573,6420,21,33,27,1,1,70,64,47,0,0,0,1,11,5,6637,6573,64,27,24,1,0,4,0,4,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,4,1,1,0,2,27,2,0,0,0,6,4,6,0,0,1,2,0,0,0,0,0,0,0,6,0,0
"Census Tract 240","Census Tract 240, York County, Maine","143299412","4741782","140","00","1","1","23031024000","23","031","18",,"024000",7693,7693,139.043,55.3282131036901,57.15903,55.32821,1.830812,7693,7487,34,15,50,3,9,95,7693,7627,7446,31,14,50,1,4,81,66,41,3,1,0,2,5,14,7693,7627,66,15,20,2,2,6,0,4,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1,18,7,2,0,9,49,7,0,0,0,15,10,5,0,0,2,4,0,0,0,0,0,0,2,1,0,3
"Census Tract 245","Census Tract 245, York County, Maine","147318176","5200662","140","00","1","1","23031024500","23","031","18",,"024500",6309,6309,110.918,56.8798681692734,58.88786,56.87987,2.007987,6309,6166,25,17,20,0,4,77,6309,6262,6127,24,17,20,0,0,74,47,39,1,0,0,0,4,3,6309,6262,47,15,8,3,1,6,1,3,2,0,0,0,0,7,0,2,0,4,1,0,0,0,0,0,7,0,0,0,7,18,1,0,0,0,5,1,2,0,0,3,1,2,0,0,0,0,0,1,2,0,0
"Census Tract 290","Census Tract 290, York County, Maine","70573221","1723072","140","00","1","1","23031029000","23","031","18",,"029000",3019,3019,110.7952,27.248475282511,27.91376,27.24848,0.6652818,3019,2945,21,15,6,0,3,29,3019,2997,2930,21,12,6,0,2,26,22,15,0,3,0,0,1,3,3019,2997,22,2,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,4,0,0,0,3,0,0,0,3,6,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"Census Tract 301","Census Tract 301, York County, Maine","28070748","435323","140","00","1","1","23031030100","23","031","18",,"030100",4338,4338,400.2518,10.8381768564179,11.00626,10.83818,0.1680792,4338,4128,18,11,67,0,17,97,4338,4265,4083,17,10,67,0,1,87,73,45,1,1,0,0,16,10,4338,4265,73,18,29,5,0,1,0,0,1,0,0,0,0,11,1,0,0,4,2,0,3,0,1,0,9,0,0,0,9,67,7,0,0,0,35,5,9,0,1,1,3,0,0,0,0,0,0,0,5,1,0
"Census Tract 302.01","Census Tract 302.01, York County, Maine","16120055","313305","140","00","1","1","23031030201","23","031","18",,"030201",3215,3215,516.5498,6.22398829647087,6.344956,6.223989,0.1209677,3215,3028,26,11,60,0,12,78,3215,3155,2997,24,8,60,0,1,65,60,31,2,3,0,0,11,13,3215,3155,60,16,19,2,2,10,0,4,3,0,1,1,1,6,1,0,0,4,0,0,1,0,0,0,5,1,1,0,3,50,5,0,0,0,20,6,3,0,0,0,2,2,0,0,0,0,0,0,12,0,0
"Census Tract 302.02","Census Tract 302.02, York County, Maine","12553516","23325","140","00","1","1","23031030202","23","031","18",,"030202",5627,5627,1160.939,4.84693983138146,4.855946,4.84694,0.009005833,5627,5281,51,51,101,0,18,125,5627,5549,5238,50,43,101,0,5,112,78,43,1,8,0,0,13,13,5627,5549,78,31,24,3,1,1,0,0,0,0,1,0,0,6,0,0,3,1,1,0,1,0,0,0,12,2,0,0,10,97,14,0,0,0,52,12,2,2,0,0,4,0,0,0,0,0,0,1,6,0,4
"Census Tract 302.03","Census Tract 302.03, York County, Maine","15209166","342978","140","00","1","1","23031030203","23","031","18",,"030203",4059,4059,691.2122,5.8722920723957,6.004716,5.872292,0.1324245,4059,3845,24,15,110,0,9,56,4059,3983,3793,19,10,110,0,0,51,76,52,5,5,0,0,9,5,4059,3983,76,15,30,3,0,6,0,0,4,0,2,0,0,12,0,0,0,5,3,2,2,0,0,0,10,6,3,0,1,109,14,0,0,0,73,4,8,0,0,0,1,0,0,0,0,0,0,1,8,0,0
"Census Tract 303","Census Tract 303, York County, Maine","51802406","1403146","140","00","1","1","23031030300","23","031","18",,"030300",3559,3559,177.9409,20.0010223985594,20.54278,20.00102,0.5417577,3559,3405,9,3,82,0,7,53,3559,3508,3367,9,2,81,0,0,49,51,38,0,1,1,0,7,4,3559,3508,51,19,9,3,5,3,2,1,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,6,1,4,0,1,76,8,0,0,0,20,8,12,0,0,1,2,0,0,0,0,0,0,4,18,0,3
"Census Tract 310","Census Tract 310, York County, Maine","142454022","2137322","140","00","1","1","23031031000","23","031","18",,"031000",6031,6031,109.6509,55.0018054137703,55.82703,55.0018,0.8252247,6031,5854,26,17,50,0,5,79,6031,5974,5806,26,15,50,0,2,75,57,48,0,2,0,0,3,4,6031,5974,57,11,13,0,6,0,0,0,0,0,0,0,0,16,0,0,3,1,5,0,0,0,4,3,11,3,2,0,6,50,6,0,0,0,17,3,5,0,0,1,8,1,0,0,0,0,0,1,8,0,0
"Census Tract 320","Census Tract 320, York County, Maine","97164109","875282","140","00","1","1","23031032000","23","031","18",,"032000",7246,7246,193.148,37.515274974247,37.85322,37.51527,0.3379483,7246,6970,37,18,93,2,12,114,7246,7153,6905,36,16,93,2,3,98,93,65,1,2,0,0,9,16,7246,7153,93,30,30,4,2,4,0,4,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,18,5,0,0,13,88,4,0,0,0,20,2,22,0,14,0,4,1,0,0,0,0,1,1,17,0,2
"Census Tract 330","Census Tract 330, York County, Maine","98458142","367786","140","00","1","1","23031033000","23","031","18",,"033000",4576,4576,120.3738,38.0149035439546,38.15691,38.0149,0.142003,4576,4443,24,16,34,0,12,47,4576,4511,4393,24,15,34,0,6,39,65,50,0,1,0,0,6,8,4576,4511,65,12,19,0,2,8,0,4,1,0,0,3,0,15,0,0,0,15,0,0,0,0,0,0,9,2,0,0,7,34,2,0,0,0,15,9,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3
"Census Tract 9001","Census Tract 9001, Berkshire County, Massachusetts","1264254","0","140","00","1","1","25003900100","25","003","18",,"900100",3389,3389,6942.805,0.488131219140784,0.4881312,0.4881312,0,3389,2668,325,17,68,0,146,165,3389,3073,2543,306,10,68,0,16,130,316,125,19,7,0,0,130,35,3389,3073,316,33,139,11,1,21,0,5,0,0,2,13,1,74,0,1,0,23,37,0,13,0,0,0,37,10,8,1,18,67,20,0,0,0,4,20,3,0,0,3,4,0,0,1,0,0,0,2,10,0,0
"Census Tract 9002","Census Tract 9002, Berkshire County, Massachusetts","1338730","111345","140","00","1","1","25003900200","25","003","18",,"900200",4449,4449,8607.305,0.516886564725396,0.5598771,0.5168866,0.04299055,4449,3561,355,19,69,1,189,255,4449,3907,3285,322,17,69,0,20,194,542,276,33,2,0,1,169,61,4449,3907,542,96,186,17,27,56,0,3,6,0,3,44,0,110,0,1,0,21,69,0,18,0,0,1,50,10,6,1,33,66,9,0,0,0,0,12,7,0,0,2,3,0,0,0,11,0,0,0,18,0,4
"Census Tract 9003","Census Tract 9003, Berkshire County, Massachusetts","2747526","21953","140","00","1","1","25003900300","25","003","18",,"900300",2903,2903,2736.547,1.0608257644437,1.069302,1.060826,0.008476101,2903,2588,109,3,40,3,72,88,2903,2733,2509,100,3,40,1,6,74,170,79,9,0,0,2,66,14,2903,2733,170,26,64,9,5,34,0,2,1,2,1,28,0,20,4,0,0,11,5,0,0,0,0,0,12,1,1,0,10,35,9,0,0,0,0,13,3,0,0,0,2,0,0,0,0,0,0,3,5,0,0
"Census Tract 9004","Census Tract 9004, Berkshire County, Massachusetts","12759481","991638","140","00","1","1","25003900400","25","003","18",,"900400",4862,4862,986.9149,4.92646336585343,5.309337,4.926464,0.3828736,4862,4365,233,3,31,0,88,142,4862,4647,4263,216,2,31,0,12,123,215,102,17,1,0,0,76,19,4862,4647,215,18,100,2,17,21,0,15,0,0,2,4,0,34,4,0,2,13,9,0,3,0,1,2,23,2,2,0,19,31,13,0,0,0,0,4,4,0,0,0,3,0,0,0,7,0,0,0,0,0,0
"Census Tract 9005","Census Tract 9005, Berkshire County, Massachusetts","28225810","2704647","140","00","1","1","25003900500","25","003","18",,"900500",3288,3288,301.7054,10.8980466318763,11.94232,10.89805,1.04427,3288,3126,69,0,45,1,14,33,3288,3196,3056,62,0,45,1,6,26,92,70,7,0,0,0,8,7,3288,3196,92,21,22,4,6,7,0,6,0,0,0,1,0,10,0,2,0,1,5,1,1,0,0,0,22,2,1,0,19,45,24,0,0,0,0,8,1,0,0,1,6,0,0,0,0,4,0,0,1,0,0
"Census Tract 9006","Census Tract 9006, Berkshire County, Massachusetts","2116463","71544","140","00","1","1","25003900600","25","003","18",,"900600",4117,4117,5038.113,0.817170967587495,0.8447943,0.817171,0.02762329,4117,3037,635,17,52,1,121,254,4117,3813,2912,592,15,52,1,29,212,304,125,43,2,0,0,92,42,4117,3813,304,35,193,6,3,22,1,1,2,0,2,16,0,23,1,0,0,9,12,0,1,0,0,0,22,0,8,0,14,52,17,0,0,0,2,16,5,0,0,1,1,0,2,0,1,0,0,2,5,0,0
"Census Tract 9007","Census Tract 9007, Berkshire County, Massachusetts","7194541","331454","140","00","1","1","25003900700","25","003","18",,"900700",2910,2910,1047.581,2.77782792816028,2.905803,2.777828,0.1279751,2910,2774,58,1,14,0,19,44,2910,2841,2731,58,1,14,0,0,37,69,43,0,0,0,0,19,7,2910,2841,69,3,28,4,0,8,0,1,5,0,1,1,0,13,0,0,0,4,7,0,2,0,0,0,13,2,3,0,8,14,2,0,0,0,0,1,0,0,1,0,5,0,0,0,1,0,0,1,1,0,2
"Census Tract 9008","Census Tract 9008, Berkshire County, Massachusetts","25783292","551465","140","00","1","1","25003900800","25","003","18",,"900800",4835,4835,485.6863,9.95498511962218,10.16791,9.954985,0.2129218,4835,4617,45,2,63,0,34,74,4835,4763,4582,45,2,63,0,8,63,72,35,0,0,0,0,26,11,4835,4763,72,10,11,3,0,23,3,3,1,2,1,13,0,19,0,0,0,4,15,0,0,0,0,0,6,1,0,0,5,62,11,1,0,0,3,19,2,0,0,5,8,0,0,0,0,0,0,3,10,0,0
"Census Tract 9009","Census Tract 9009, Berkshire County, Massachusetts","4103562","86807","140","00","1","1","25003900900","25","003","18",,"900900",5134,5134,3240.355,1.58439421340948,1.617911,1.584394,0.03351637,5134,4606,185,17,42,0,136,148,5134,4854,4477,170,16,42,0,12,137,280,129,15,1,0,0,124,11,5134,4854,280,62,68,6,8,51,0,6,2,1,0,42,0,56,1,0,3,19,22,1,10,0,0,0,29,7,2,0,20,42,18,0,0,0,5,6,0,0,1,0,3,0,3,0,6,0,0,0,0,0,0
"Census Tract 9011","Census Tract 9011, Berkshire County, Massachusetts","7889443","14757","140","00","1","1","25003901100","25","003","18",,"901100",3729,3729,1224.176,3.04613110176572,3.051829,3.046131,0.00569771,3729,3428,146,5,74,0,23,53,3729,3657,3386,141,5,74,0,1,50,72,42,5,0,0,0,22,3,3729,3657,72,8,31,0,0,4,0,0,2,0,1,1,0,16,0,1,0,8,2,0,5,0,0,0,13,0,2,0,11,74,11,0,0,0,4,19,4,0,5,1,4,0,0,0,11,3,0,1,10,0,1
"Census Tract 9111","Census Tract 9111, Berkshire County, Massachusetts","74697172","1906233","140","00","1","1","25003911100","25","003","18",,"911100",3091,3091,107.1748,28.8407390304511,29.57674,28.84074,0.7360007,3091,2995,43,1,20,1,5,26,3091,3050,2963,39,1,20,1,1,25,41,32,4,0,0,0,4,1,3091,3050,41,10,11,2,5,3,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,2,3,0,4,20,8,0,0,0,7,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9121","Census Tract 9121, Berkshire County, Massachusetts","56416391","256494","140","00","1","1","25003912100","25","003","18",,"912100",6756,6756,310.1573,21.782491656332,21.88153,21.78249,0.09903289,6756,6538,49,4,53,1,37,74,6756,6647,6469,48,4,53,1,4,68,109,69,1,0,0,0,33,6,6756,6647,109,5,29,11,6,6,1,3,0,0,0,2,0,31,1,2,3,9,14,1,1,0,0,0,21,15,3,0,3,53,6,0,0,0,2,11,3,0,0,1,6,0,0,0,12,0,0,0,12,0,0
"Census Tract 9201.01","Census Tract 9201.01, Berkshire County, Massachusetts","35639797","261175","140","00","1","1","25003920101","25","003","18",,"920101",4638,4638,337.0492,13.7606027518274,13.86144,13.7606,0.1008402,4638,4057,136,6,241,4,45,149,4638,4440,3933,128,4,241,1,7,126,198,124,8,2,0,3,38,23,4638,4440,198,50,43,13,9,31,5,12,3,0,1,10,0,28,5,1,2,5,5,0,4,1,5,0,24,11,2,1,10,237,35,1,0,3,7,87,5,0,1,8,45,0,0,5,4,0,7,10,10,0,9
"Census Tract 9201.02","Census Tract 9201.02, Berkshire County, Massachusetts","85467733","68669","140","00","1","1","25003920102","25","003","18",,"920102",3116,3116,94.42631,32.9992787611371,33.02579,32.99928,0.02651325,3116,2725,88,2,159,0,32,110,3116,2994,2654,84,2,157,0,9,88,122,71,4,0,2,0,23,22,3116,2994,122,27,27,5,1,23,0,8,7,0,3,4,1,23,5,0,3,9,3,0,3,0,0,0,16,9,2,0,5,155,17,4,0,2,0,56,5,0,0,14,42,0,0,0,4,0,1,0,6,3,1
"Census Tract 9213","Census Tract 9213, Berkshire County, Massachusetts","11991197","132548","140","00","1","1","25003921300","25","003","18",,"921300",5118,5118,1105.441,4.62982724244282,4.681005,4.629827,0.05117707,5118,4700,160,17,41,6,59,135,5118,4926,4598,142,15,40,6,6,119,192,102,18,2,1,0,53,16,5118,4926,192,27,71,8,22,30,0,6,17,1,2,4,0,8,0,0,2,1,3,0,2,0,0,0,26,7,3,0,16,39,8,0,0,0,5,6,2,0,0,4,13,0,0,0,0,0,0,1,0,0,0
